L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
6.483036818663754e+35,5.6585439540573086e+35,-8.244928646064452e+34,732977,17,4,0,0.01,7,171.875,15.625,406.25,0.0,0.0,0.0,671.875,578.125
5.650576306279199e+35,4.763349858534498e+35,-8.872264477447009e+34,732977,17,4,0,0.01,7,0.0,31.25,406.25,0.0,0.0,0.0,656.25,0.0
4.760004675098533e+35,4.767045349999854e+35,7.040674901320638e+32,732977,17,4,0,0.01,7,0.0,15.625,406.25,0.0,0.0,0.0,671.875,0.0
4.759721926977458e+35,4.762054424297469e+35,2.332497320011237e+32,732977,17,4,0,0.01,7,0.0,15.625,406.25,0.0,0.0,0.0,656.25,0.0
4.759670553794255e+35,4.760107744993825e+35,4.371911995702419e+31,732977,17,4,0,0.01,7,0.0,31.25,406.25,0.0,0.0,0.0,671.875,0.0
4.7596542013673955e+35,4.761175412745254e+35,1.5212113778586353e+32,732977,17,4,0,0.01,7,0.0,15.625,421.875,0.0,0.0,0.0,656.25,0.0
4.7596436184705706e+35,4.759996391838504e+35,3.5277336793375006e+31,732977,17,4,0,0.01,7,0.0,31.25,421.875,0.0,0.0,0.0,656.25,0.0
4.7596397826446134e+35,4.7596667107488266e+35,2.692810421313774e+30,732977,17,4,0,0.01,7,0.0,15.625,421.875,0.0,0.0,0.0,656.25,0.0
