L_slow,L_fast,L_diff,n,d,k,seed,subsample_size,steps,t_A,t_B,t_sketching,t_sampling,t_choose_best,t_sampling_centroids,t_get_avg,t_permutation
2180795192.7824526,1939958823.912881,-240836368.8695717,761940,6,5,0,0.01,13,93.75,15.625,187.5,0.0,0.0,0.0,312.5,265.625
1938896586.160858,1942192798.5596435,3296212.398785591,761940,6,5,0,0.01,13,0.0,15.625,203.125,0.0,0.0,0.0,312.5,0.0
1938484014.2203913,1939045499.1475217,561484.9271304607,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
1938181170.3608408,1938611867.4649215,430697.10408067703,761940,6,5,0,0.01,13,0.0,15.625,203.125,0.0,0.0,0.0,312.5,0.0
1937943239.2260244,1937923491.962292,-19747.26373243332,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
1937722634.7818086,1937568757.9516382,-153876.830170393,761940,6,5,0,0.01,13,0.0,15.625,203.125,0.0,0.0,0.0,312.5,0.0
1937424268.4668868,1937465529.0122454,41260.54535865784,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
1937326126.8553927,1937530046.2893023,203919.43390965462,761940,6,5,0,0.01,13,0.0,31.25,187.5,0.0,0.0,0.0,312.5,0.0
1937248038.9614317,1938308383.137078,1060344.175646305,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,328.125,0.0
1937185169.1075263,1937404663.30072,219494.1931936741,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,296.875,0.0
1937134084.1379242,1937039145.8861692,-94938.25175499916,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
1937012666.8634262,1936917847.703932,-94819.1594941616,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
1936909023.1514056,1936924745.1591477,15722.00774216652,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,328.125,0.0
1936907133.8138294,1936926880.070967,19746.257137537003,761940,6,5,0,0.01,13,0.0,15.625,187.5,0.0,0.0,0.0,312.5,0.0
